Name,Category,Price,Type,Description,Is Available,Tax Rate,Image URL
Chilli Prawns,Prawns Starters,250,Non-Veg,Batter-fried prawns wok-glazed in fiery soy chilli garlic sauce,TRUE,5,
Prawns Manchurian,Prawns Starters,240,Non-Veg,"Crispy prawns tossed in classic dark soy, ginger, and garlic Manchurian sauce",TRUE,5,
Prawns 65,Prawns Starters,250,Non-Veg,Juicy prawns marinated in South Indian spices and deep fried crisp,TRUE,5,
Golden Fried Prawns,Prawns Starters,260,Non-Veg,Golden butterflied prawns crumb-coated and deep fried until super crunchy,TRUE,5,
Szechuan Prawns,Prawns Starters,280,Non-Veg,Plump prawns sautéed in authentic spicy Szechuan pepper sauce,TRUE,5,
Veg Shangri-La,Veg Starters,230,Veg,Exotic mixed vegetables tossed in sweet and spicy oriental Shangri-La sauce,TRUE,5,
Veg 65,Veg Starters,200,Veg,Crisp fried mixed vegetable fritters tempered with yoghurt and curry leaves,TRUE,5,
Veg Chilli,Veg Starters,200,Veg,"Crispy vegetable dumplings tossed with capsicum, onion, and green chillies",TRUE,5,
Veg Manchurian,Veg Starters,200,Veg,Classic vegetable balls deep-fried and glazed in ginger garlic soy reduction,TRUE,5,
Gobi Manchurian,Veg Starters,200,Veg,Cauliflower florets batter-fried crisp and tossed in dark soy Manchurian gravy,TRUE,5,
Gobi Chilli,Veg Starters,230,Veg,Crispy fried cauliflower florets tossed with onions and spicy green chillies,TRUE,5,
Baby Corn Manchurian,Veg Starters,240,Veg,Tender baby corn fingers batter-fried and glazed in savoury Manchurian sauce,TRUE,5,
Baby Corn 65,Veg Starters,230,Veg,Crunchy baby corn tossed in spicy South Indian 65 tempering,TRUE,5,
Baby Corn Chilli,Veg Starters,240,Veg,"Golden baby corn wok-tossed with capsicum, onion, and oriental chilli sauce",TRUE,5,
Golden Fried Baby Corn,Veg Starters,200,Veg,Crunchy battered baby corn fried to golden perfection with house dip,TRUE,5,
Crispy Corn,Veg Starters,200,Veg,"Crisp fried sweet corn kernels tossed with spices, onion, and lemon juice",TRUE,5,
Paneer Dragon,Veg Starters,230,Veg,Paneer fingers coated in fiery red chilli dragon sauce and roasted sesame,TRUE,5,
Paneer Chilli,Veg Starters,230,Veg,Cottage cheese cubes tossed in spicy chilli soy reduction with bell peppers,TRUE,5,
Paneer 65,Veg Starters,220,Veg,Spiced paneer cubes deep-fried and tossed with tempered curry leaves,TRUE,5,
Paneer Manchurian,Veg Starters,260,Veg,"Crispy paneer cubes tossed in garlic, ginger, and scallion Manchurian sauce",TRUE,5,
Paneer Basket,Veg Starters,240,Veg,Crispy spiced cottage cheese fingers served in a crunchy fried edible basket,TRUE,5,
Pepper Paneer,Veg Starters,240,Veg,Fresh paneer cubes dry-tossed in robust crushed black peppercorn seasoning,TRUE,5,
Mushroom Manchurian,Veg Starters,220,Veg,Fresh button mushrooms fried crisp and tossed in dark soy Manchurian glaze,TRUE,5,
Mushroom Chilli,Veg Starters,230,Veg,"Juicy button mushrooms wok-seared with green chillies, onions, and capsicum",TRUE,5,
Mushroom 65,Veg Starters,220,Veg,Battered button mushrooms deep-fried with aromatic Indian 65 spices,TRUE,5,
Mushroom Pepper,Veg Starters,240,Veg,Whole button mushrooms sautéed with fresh ground black pepper and curry leaves,TRUE,5,
Mushroom Hot & Pepper,Veg Starters,240,Veg,Spicy button mushrooms tossed in hot chilli sauce and black peppercorns,TRUE,5,
Vanilla Butter Cream Cake (1/2 Kg),Butter Cream Cakes,200,Veg,Soft vanilla sponge layered with velvety smooth vanilla buttercream,TRUE,5,
Vanilla Butter Cream Cake (1 Kg),Butter Cream Cakes,370,Veg,Classic vanilla celebration sponge frosted with rich vanilla buttercream,TRUE,5,
Pineapple Butter Cream Cake (1/2 Kg),Butter Cream Cakes,200,Veg,Fresh pineapple infused sponge layered with juicy pineapple buttercream,TRUE,5,
Pineapple Butter Cream Cake (1 Kg),Butter Cream Cakes,370,Veg,Tangy-sweet pineapple compote buttercream cake for celebrations,TRUE,5,
Strawberry Butter Cream Cake (1/2 Kg),Butter Cream Cakes,200,Veg,Pink strawberry sponge iced with delicious sweet strawberry buttercream,TRUE,5,
Strawberry Butter Cream Cake (1 Kg),Butter Cream Cakes,370,Veg,Fragrant strawberry cream layered celebration cake,TRUE,5,
Black Currant Butter Cream Cake (1/2 Kg),Butter Cream Cakes,200,Veg,Zesty purple black currant sponge filled with berry buttercream,TRUE,5,
Black Currant Butter Cream Cake (1 Kg),Butter Cream Cakes,400,Veg,Rich black currant buttercream celebration cake,TRUE,5,
Butter Scotch Butter Cream Cake (1/2 Kg),Butter Cream Cakes,200,Veg,Moist caramel sponge frosted with butterscotch buttercream and crunchy praline,TRUE,5,
Butter Scotch Butter Cream Cake (1 Kg),Butter Cream Cakes,400,Veg,Rich butterscotch celebration cake topped with crunchy caramel praline,TRUE,5,
Chocolate Butter Cream Cake (1/2 Kg),Butter Cream Cakes,200,Veg,Decadent cocoa sponge layered with luscious chocolate buttercream,TRUE,5,
Chocolate Butter Cream Cake (1 Kg),Butter Cream Cakes,420,Veg,Rich chocolate sponge with chocolate fudge buttercream frosting,TRUE,5,
Honey Butter Cream Cake (1/2 Kg),Butter Cream Cakes,200,Veg,Traditional honey-soaked sponge cake with buttercream and jam glaze,TRUE,5,
Honey Butter Cream Cake (1 Kg),Butter Cream Cakes,420,Veg,Sweet natural honey-soaked sponge cake frosted with vanilla buttercream,TRUE,5,
Vanilla Pastry Cake (600g),Pastry Cakes,300,Veg,Fluffy vanilla sponge layered with light dairy whipped cream,TRUE,5,
Vanilla Pastry Cake (1 Kg),Pastry Cakes,500,Veg,Soft vanilla sponge dressed with fresh whipped cream and white chocolate shavings,TRUE,5,
Pineapple Pastry Cake (600g),Pastry Cakes,350,Veg,Fresh pineapple pulp and cherries layered with light dairy cream,TRUE,5,
Pineapple Pastry Cake (1 Kg),Pastry Cakes,500,Veg,Tropical pineapple gateau topped with fresh pineapple slices and cherries,TRUE,5,
Strawberry Pastry Cake (600g),Pastry Cakes,350,Veg,Airy sponge with strawberry compote and pink whipped cream,TRUE,5,
Strawberry Pastry Cake (1 Kg),Pastry Cakes,500,Veg,Lush strawberry gateau layered with real fruit filling and cream,TRUE,5,
Butter Scotch Pastry Cake (600g),Pastry Cakes,350,Veg,Caramel sponge with crunchy nougat nuts and butterscotch cream,TRUE,5,
Butter Scotch Pastry Cake (1 Kg),Pastry Cakes,550,Veg,Celebration butterscotch gateau loaded with crunchy butterscotch bits,TRUE,5,
Black Currant Pastry Cake (600g),Pastry Cakes,350,Veg,Wild black currant fruit crush layered with fresh whipped cream,TRUE,5,
Black Currant Pastry Cake (1 Kg),Pastry Cakes,600,Veg,Rich berry gateau garnished with purple glaze and white chocolate curls,TRUE,5,
White Forest Pastry Cake (600g),Pastry Cakes,350,Veg,"Vanilla sponge soaked with cherry syrup, whipped cream, and white chocolate curls",TRUE,5,
White Forest Pastry Cake (1 Kg),Pastry Cakes,600,Veg,Classic German white forest cake with red cherries and white chocolate shavings,TRUE,5,
Black Forest Pastry Cake (600g),Pastry Cakes,400,Veg,"Rich dark chocolate sponge, cherry filling, and dark chocolate flakes",TRUE,5,
Black Forest Pastry Cake (1 Kg),Pastry Cakes,700,Veg,"Authentic Black Forest gateau with layers of whipped cream, cherries, and dark chocolate",TRUE,5,
Chocolate Truffle Pastry Cake (600g),Pastry Cakes,400,Veg,Decadent dark chocolate ganache layered with moist chocolate fudge sponge,TRUE,5,
Chocolate Truffle Pastry Cake (1 Kg),Pastry Cakes,750,Veg,Pure Belgian dark chocolate ganache glaze over moist chocolate sponge,TRUE,5,
Red Velvet Pastry Cake (600g),Pastry Cakes,400,Veg,Crimson cocoa sponge layered with velvety cream cheese frosting,TRUE,5,
Red Velvet Pastry Cake (1 Kg),Pastry Cakes,750,Veg,Signature crimson red velvet sponge with rich cream cheese and crumb topping,TRUE,5,
Choco Chip Pastry Cake (600g),Pastry Cakes,450,Veg,Chocolate sponge loaded with semi-sweet chocolate chips and chocolate cream,TRUE,5,
Choco Chip Pastry Cake (1 Kg),Pastry Cakes,800,Veg,Rich chocolate gateau bursting with crunchy dark chocolate chips,TRUE,5,
Honey Almond Pastry Cake (600g),Pastry Cakes,450,Veg,Delicate honey soaked sponge layered with toasted roasted almond slivers,TRUE,5,
Honey Almond Pastry Cake (1 Kg),Pastry Cakes,800,Veg,Premium celebration cake topped with caramelized roasted California almonds,TRUE,5,
KitKat Pastry Cake (600g),Pastry Cakes,500,Veg,Chocolate sponge frosted with chocolate truffle and ringed with KitKat bars,TRUE,5,
KitKat Pastry Cake (1 Kg),Pastry Cakes,1000,Veg,Loaded chocolate celebration cake topped and bordered with crunchy KitKat wafers,TRUE,5,
Fresh Fruit Cake (600g),Pastry Cakes,500,Veg,"Vanilla sponge generously topped with fresh seasonal kiwi, apple, grapes, and oranges",TRUE,5,
Fresh Fruit Cake (1 Kg),Pastry Cakes,1000,Veg,Exotic seasonal fruit gateau glazed in natural fruit glaze and fresh whipped cream,TRUE,5,
Dry Fruit Cake (600g),Pastry Cakes,500,Veg,"Rich spiced sponge loaded with cashews, almonds, pistachios, and raisins",TRUE,5,
Dry Fruit Cake (1 Kg),Pastry Cakes,1000,Veg,Premium royal dry fruit cake packed with crunchy dry nuts,TRUE,5,
Rasmalai Cake (600g),Pastry Cakes,500,Veg,Indian fusion cake soaked in saffron cardamom rabri with spongy rasmalai pieces,TRUE,5,
Rasmalai Cake (1 Kg),Pastry Cakes,1000,Veg,"Royal Indian fusion cake loaded with juicy rasmalai, saffron cream, and pistachios",TRUE,5,
Rainbow Cake (600g),Pastry Cakes,500,Veg,Vibrant multi-colored sponge layers frosted with light vanilla cream,TRUE,5,
Rainbow Cake (1 Kg),Pastry Cakes,1000,Veg,Stunning 6-layered colorful sponge celebration cake with white vanilla frosting,TRUE,5,
Chocolate Overloaded Cake (600g),Pastry Cakes,500,Veg,"Overloaded with chocolate truffles, brownies, choco chips, and chocolate drizzle",TRUE,5,
Chocolate Overloaded Cake (1 Kg),Pastry Cakes,1000,Veg,The ultimate chocolate lovers dream cake loaded with truffles and toppings,TRUE,5,
Blue Berry Cream Bun,Buns & Bakery Specials,25,Veg,Soft golden bun stuffed with sweet blueberry cream filling,TRUE,5,
Pineapple Cream Bun,Buns & Bakery Specials,20,Veg,Fluffy fresh baked bun with delicious pineapple cream core,TRUE,5,
Butterscotch Cream Bun,Buns & Bakery Specials,20,Veg,Sweet bakery bun filled with butterscotch cream and crunch,TRUE,5,
Strawberry Cream Bun,Buns & Bakery Specials,20,Veg,Soft bun packed with fragrant strawberry cream,TRUE,5,
Chocolate Cream Bun,Buns & Bakery Specials,20,Veg,Fresh oven-baked bun filled with smooth chocolate cream,TRUE,5,
Kova Bun,Buns & Bakery Specials,20,Veg,Traditional South bakery bun filled with sweetened milk kova/khoya,TRUE,5,
Lava Cake,Buns & Bakery Specials,50,Veg,Warm chocolate mini cake with an oozing hot melted chocolate lava centre,TRUE,5,
Brownie Cake,Buns & Bakery Specials,50,Veg,Fudgy cocoa brownie square packed with walnuts and chocolate chunks,TRUE,5,
Kova Dil Pasand,Buns & Bakery Specials,80,Veg,"Traditional flaky puff pastry stuffed with sweet kova, tutty fruity, and dry coconut",TRUE,5,
Vanilla Pastry (Piece),Pastry Slices,50,Veg,Single portion slice of fresh vanilla cream pastry,TRUE,5,
Pineapple Pastry (Piece),Pastry Slices,50,Veg,Single portion slice of tropical pineapple cream pastry,TRUE,5,
Butter Scotch Pastry (Piece),Pastry Slices,50,Veg,Single portion slice of crunchy butterscotch pastry,TRUE,5,
Strawberry Pastry (Piece),Pastry Slices,50,Veg,Single portion slice of pink strawberry cream pastry,TRUE,5,
Black Currant Pastry (Piece),Pastry Slices,50,Veg,Single portion slice of tangy sweet black currant pastry,TRUE,5,
Kiwi Pastry (Piece),Pastry Slices,50,Veg,Single portion slice of exotic kiwi fruit pastry,TRUE,5,
Chocolate Truffle Pastry (Piece),Pastry Slices,60,Veg,Single portion slice of rich dark chocolate ganache truffle pastry,TRUE,5,
Honey Almond Pastry (Piece),Pastry Slices,60,Veg,Single portion slice of honey soaked pastry with roasted almonds,TRUE,5,
White Forest Pastry (Piece),Pastry Slices,60,Veg,Single portion slice of white chocolate and cherry pastry,TRUE,5,
Black Forest Pastry (Piece),Pastry Slices,60,Veg,Single portion slice of classic Black Forest gateau,TRUE,5,
KitKat Pastry (Piece),Pastry Slices,60,Veg,Single portion slice of chocolate pastry topped with KitKat crunch,TRUE,5,
Red Velvet Pastry (Piece),Pastry Slices,60,Veg,Single portion slice of scarlet red velvet with cream cheese,TRUE,5,
Rasa Malai Pastry (Piece),Pastry Slices,60,Veg,Single portion slice of royal saffron rasmalai fusion pastry,TRUE,5,
Rainbow Cake (Piece),Pastry Slices,70,Veg,Single portion slice of vibrant 6-layer rainbow cake,TRUE,5,
Chocolate Overloaded Pastry (Piece),Pastry Slices,70,Veg,Single portion slice loaded with assorted chocolates and fudge,TRUE,5,
Pineapple Jar Cake,Jar Cakes,50,Veg,Layered fresh pineapple sponge and cream served in a reusable dessert jar,TRUE,5,
Red Velvet Jar Cake,Jar Cakes,60,Veg,Layers of crimson red velvet sponge and cream cheese in a dessert jar,TRUE,5,
Black Forest Jar Cake,Jar Cakes,60,Veg,"Layers of chocolate sponge, red cherries, and whipped cream in a jar",TRUE,5,
Chocolate Donut,Donuts,40,Veg,Soft ring donut dipped in dark chocolate glaze,TRUE,5,
Milk Chocolate Donut,Donuts,40,Veg,Fresh yeast donut coated in creamy milk chocolate glaze,TRUE,5,
White Chocolate Donut,Donuts,40,Veg,Fluffy donut coated in sweet white chocolate ganache,TRUE,5,
Butterscotch Donut,Donuts,40,Veg,Ring donut glazed with butterscotch caramel drizzle,TRUE,5,
Strawberry Donut,Donuts,40,Veg,Sweet donut dipped in pink strawberry chocolate glaze,TRUE,5,
Choco Chip Donut,Donuts,45,Veg,Chocolate glazed donut sprinkled with dark chocolate chips,TRUE,5,
White Choco Chip Donut,Donuts,45,Veg,White chocolate glazed donut topped with crunchy white choco chips,TRUE,5,
Almond Donut,Donuts,45,Veg,Glazed ring donut topped with toasted sliced California almonds,TRUE,5,
Fondant Cool Cake (1 Kg),Fondant Cakes,1300,Veg,Theme-based custom designer cake sculpted with smooth sugar fondant,TRUE,5,
Normal Fondant Cake (1 Kg),Fondant Cakes,1200,Veg,Standard designer celebration cake covered with handcrafted fondant,TRUE,5,
Eggless Cake Add-On,Cake Customization,100,Veg,Upgrade cake preparation to 100% vegetarian eggless sponge,TRUE,5,
Step Cake Add-On,Cake Customization,100,Veg,2-tier or multi-tier tiered step cake arrangement fee,TRUE,5,
Garnishing Add-On,Cake Customization,100,Veg,"Special chocolate collars, edible glitter, and decorative toppers",TRUE,5,
Custom Shape Add-On,Cake Customization,200,Veg,"Heart, numeral, or character shaped sponge crafting fee",TRUE,5,
Edible Photo Print Add-On,Cake Customization,200,Veg,High resolution edible sugar sheet customized photo topper,TRUE,5,
Custom Drawing Add-On,Cake Customization,200,Veg,Handcrafted artist piping drawing and gel art on cake,TRUE,5,
Chicken Pizza (Small),Pizzas,140,Non-Veg,Hand-stretched personal pizza topped with seasoned chicken cubes and mozzarella,TRUE,5,
Chicken Pizza (Medium),Pizzas,190,Non-Veg,"Medium pizza loaded with seasoned shredded chicken, bell peppers, and melted cheese",TRUE,5,
BBQ Chicken Pizza (Small),Pizzas,140,Non-Veg,"Personal pizza topped with smokey BBQ chicken, red onions, and mozzarella",TRUE,5,
BBQ Chicken Pizza (Medium),Pizzas,190,Non-Veg,"Medium pizza with smokey barbecue chicken chunks, onions, and gooey cheese",TRUE,5,
Butter Chicken Pizza (Small),Pizzas,140,Non-Veg,"Fusion pizza with rich butter chicken makhani gravy, chicken tikka, and cheese",TRUE,5,
Butter Chicken Pizza (Medium),Pizzas,190,Non-Veg,Medium fusion pizza layered with creamy makhani sauce and tandoori chicken,TRUE,5,
Fried Chicken Pizza (Small),Pizzas,140,Non-Veg,Personal pizza topped with crispy popcorn chicken nuggets and mozzarella,TRUE,5,
Fried Chicken Pizza (Medium),Pizzas,190,Non-Veg,Medium pizza loaded with crunchy batter-fried chicken bits and herbs,TRUE,5,
Cheese Corn Pizza (Small),Pizzas,140,Veg,Crisp crust loaded with sweet golden corn kernels and double mozzarella cheese,TRUE,5,
Cheese Corn Pizza (Medium),Pizzas,190,Veg,Medium pizza bursting with juicy sweet corn and stretchy mozzarella cheese,TRUE,5,
Paneer Pizza (Small),Pizzas,140,Veg,"Personal pizza topped with spiced marinated paneer cubes, capsicum, and cheese",TRUE,5,
Paneer Pizza (Medium),Pizzas,190,Veg,"Medium pizza loaded with tandoori spiced cottage cheese, onions, and cheese",TRUE,5,
Mushroom Pizza (Small),Pizzas,140,Veg,"Personal pizza topped with seasoned button mushrooms, oregano, and cheese",TRUE,5,
Mushroom Pizza (Medium),Pizzas,190,Veg,"Medium pizza topped with sautéed button mushrooms, herbs, and mozzarella",TRUE,5,
Cheese Pizza (Small),Pizzas,140,Veg,Classic personal Margherita pizza with rich tomato sauce and mozzarella,TRUE,5,
Cheese Pizza (Medium),Pizzas,190,Veg,Medium classic cheese pizza with 100% real stretchy mozzarella cheese,TRUE,5,
Veg Masala Pizza (Small),Pizzas,90,Veg,"Desi spiced pizza topped with spiced tomato sauce, chopped veggies, and cheese",TRUE,5,
Veg Masala Pizza (Medium),Pizzas,140,Veg,"Medium Indian-style spiced vegetable pizza with onions, tomatoes, and cheese",TRUE,5,
Veg Burger,Burgers,80,Veg,Crispy spiced vegetable patty nestled in a toasted bun with mayo and lettuce,TRUE,5,
Chicken Burger,Burgers,100,Non-Veg,"Juicy golden chicken patty topped with fresh cabbage slaw, mayo, and toasted buns",TRUE,5,
Double Decker Chicken Burger,Burgers,140,Non-Veg,"Two succulent chicken patties with double cheese, creamy mayo, and crisp lettuce",TRUE,5,
Paneer Burger,Burgers,100,Veg,"Thick grilled spicy paneer patty served with fresh onions, tomato, and tandoori mayo",TRUE,5,
Chicken Sandwich,Sandwiches,100,Non-Veg,Grilled sandwich stuffed with tender spiced chicken breast and creamy mayo,TRUE,5,
Veg Masala Sandwich,Sandwiches,80,Veg,Street-style grilled sandwich packed with spiced potato masala and green chutney,TRUE,5,
Paneer Sandwich,Sandwiches,100,Veg,"Toasted bread loaded with marinated cottage cheese, bell peppers, and cheese",TRUE,5,
Mushroom Sandwich,Sandwiches,100,Veg,Grilled sandwich filled with garlic sautéed button mushrooms and herbs,TRUE,5,
BBQ Chicken Sandwich,Sandwiches,120,Non-Veg,Grilled bread filled with smoky pulled BBQ chicken and caramelized onions,TRUE,5,
Butter Chicken Sandwich,Sandwiches,120,Non-Veg,Decadent grilled sandwich stuffed with creamy butter chicken makhani filling,TRUE,5,
Cheese Corn Sandwich,Sandwiches,100,Veg,Golden toasted bread stuffed with sweet corn and melted mozzarella cheese,TRUE,5,
Veg Classic Sandwich,Sandwiches,80,Veg,"Classic cold or toasted sandwich with sliced cucumber, tomato, onion, and butter",TRUE,5,
Plain French Fries,Fries & Hot Dogs,90,Veg,Crispy golden potato french fries sprinkled with sea salt,TRUE,5,
Peri Peri French Fries,Fries & Hot Dogs,90,Veg,Crunchy golden fries dusted in zesty spicy African peri-peri seasoning,TRUE,5,
Chicken Hotdog,Fries & Hot Dogs,80,Non-Veg,"Soft hot dog bun filled with chicken sausage, mustard, ketchup, and mayo",TRUE,5,
Paneer Hotdog,Fries & Hot Dogs,80,Veg,Soft hot dog roll filled with spiced grilled paneer finger and tasty sauces,TRUE,5,
Egg Puff,Puffs & Savouries,25,Non-Veg,Crispy golden baked flaky puff pastry filled with spiced boiled egg halves,TRUE,5,
Veg Puff,Puffs & Savouries,20,Veg,"Flaky golden puff stuffed with aromatic seasoned potatoes, peas, and carrots",TRUE,5,
Gobi Puff,Puffs & Savouries,25,Veg,Crispy baked pastry stuffed with spicy cauliflower masala,TRUE,5,
Paneer Puff,Puffs & Savouries,30,Veg,Layered buttery puff pastry filled with rich spiced paneer bhurji,TRUE,5,
Mushroom Puff,Puffs & Savouries,30,Veg,Golden flaky puff pastry stuffed with peppery button mushroom filling,TRUE,5,
Chicken Puff,Puffs & Savouries,35,Non-Veg,Crispy bakery puff pastry packed with delicious spiced chicken mince,TRUE,5,
Elaichi Crunch Cookies (250g),Bakery Cookies,80,Veg,Traditional aromatic green cardamom flavored crispy butter cookies (250g),TRUE,5,
Badam Cookies (250g),Bakery Cookies,80,Veg,"Nutty, rich baked cookies embedded with roasted almond bits (250g)",TRUE,5,
Ragi Cookies (250g),Bakery Cookies,80,Veg,Healthy and wholesome finger millet cookies sweetened naturally (250g),TRUE,5,
Salt Cookies (250g),Bakery Cookies,80,Veg,Classic tea-time sweet and savoury salted butter biscuits (250g),TRUE,5,
Bournvita Cookies (250g),Bakery Cookies,80,Veg,Malted chocolate cookies packed with crunchy Bournvita goodness (250g),TRUE,5,
Chocolate Cookies (250g),Bakery Cookies,80,Veg,Double dark cocoa cookies baked to crispy crunch (250g),TRUE,5,
Vamu Cookies (250g),Bakery Cookies,80,Veg,Digestive and savoury ajwain (carom seed) spiced tea-time biscuits (250g),TRUE,5,
Almond Sticks (250g),Bakery Cookies,80,Veg,Crisp baked buttery cookie sticks encrusted with toasted almonds (250g),TRUE,5,
Butter Cookies (250g),Bakery Cookies,80,Veg,Melt-in-the-mouth golden butter cookies baked to perfection (250g),TRUE,5,
Extra Chicken Add-On,Snack Add-Ons,20,Non-Veg,Extra portion of seasoned shredded chicken topping,TRUE,5,
Extra Paneer Add-On,Snack Add-Ons,20,Veg,Extra portion of fresh cottage cheese cubes,TRUE,5,
Extra Cheese Add-On,Snack Add-Ons,20,Veg,Extra layer of melted gooey mozzarella cheese,TRUE,5,
Extra Mayo Add-On,Snack Add-Ons,20,Veg,Extra dip / dollop of creamy garlic mayonnaise,TRUE,5,
Extra Olives Add-On,Snack Add-Ons,20,Veg,Extra sliced Spanish black olives topping,TRUE,5,
