Name,Category,Price,Type,Description,Is Available,Tax Rate,Image URL
Schezwan Chicken Rice,Fried Rice,169,Non-Veg,Spicy Schezwan fried rice wok-tossed with tender chicken morsels and egg,TRUE,5,
Chicken Ginger Garlic Rice,Fried Rice,220,Non-Veg,Aromatic chicken fried rice infused with freshly crushed ginger and garlic,TRUE,5,
Mixed Non Veg Fried Rice,Fried Rice,259,Non-Veg,"Grand feast fried rice loaded with tender chicken, egg, and juicy prawns",TRUE,5,
Classic Veg Burger,Burgers,49,Veg,"Fresh toasted sesame bun with seasoned vegetable patty, lettuce, and creamy spread",TRUE,5,
Aloo Tikki Burger,Burgers,59,Veg,"Crispy spiced potato patty topped with creamy burger sauce, onion, and tomato",TRUE,5,
Grilled Paneer Burger,Burgers,89,Veg,Marinated grilled cottage cheese slice layered with crisp lettuce and sauce,TRUE,5,
Crispy Paneer Burger,Burgers,89,Veg,Crunchy golden crumb-fried paneer patty topped with rich creamy dressing,TRUE,5,
BBQ Paneer Burger,Burgers,99,Veg,Grilled paneer slab smothered in smoky barbecue sauce and fresh greens,TRUE,5,
Paneer Peri Peri Burger,Burgers,99,Veg,Spicy peri peri seasoned paneer patty with creamy spicy dressing in toasted bun,TRUE,5,
Classic Chicken Burger,Burgers,59,Non-Veg,"Soft bun layered with juicy seasoned chicken patty, fresh lettuce, and house mayo",TRUE,5,
Crunchy Chicken Burger,Burgers,59,Non-Veg,Super crispy golden crumbed chicken patty with crunchy lettuce and special sauce,TRUE,5,
BBQ Chicken Burger,Burgers,69,Non-Veg,Tender chicken patty glazed with rich smoky BBQ sauce and creamy spread,TRUE,5,
Peri Peri Chicken Burger,Burgers,79,Non-Veg,Crispy spiced chicken patty dusted with fiery peri peri seasoning and sauce,TRUE,5,
Salted French Fries,Snacks,89,Veg,Classic crispy golden potato fries seasoned with fine sea salt,TRUE,5,
Peri Peri French Fries,Snacks,99,Veg,Crunchy golden fries tossed in zesty and fiery peri peri spice mix,TRUE,5,
Potato Wedges,Snacks,109,Veg,Thick-cut skin-on potato wedges seasoned with herbs and fried golden,TRUE,5,
Veg Nuggets,Snacks,99,Veg,Golden crispy crumbed vegetable nuggets served with tangy dip,TRUE,5,
Paneer Popcorn,Snacks,179,Veg,Bite-sized paneer cubes crumb-coated and fried to super crunch,TRUE,5,
Paneer Fingers,Snacks,169,Veg,Crispy crumbed cottage cheese batons served with herb mayonnaise dip,TRUE,5,
Crispy Corn (Snacks),Snacks,160,Veg,Crunchy batter-fried sweet corn kernels tossed in spices and lemon,TRUE,5,
Chicken Popcorn (Small),Snacks,100,Non-Veg,Crunchy bite-sized chicken popcorn nuggets (Small portion),TRUE,5,
Chicken Popcorn (Large),Snacks,189,Non-Veg,Generous portion of crunchy bite-sized chicken popcorn nuggets (Large portion),TRUE,5,
Fish Popcorn,Snacks,199,Non-Veg,Bite-sized crispy fried fish nuggets served with creamy dip,TRUE,5,
Mushroom Popcorn,Snacks,139,Veg,Crispy bite-sized button mushroom nuggets seasoned with herbs,TRUE,5,
Chicken Strips (Small),Snacks,100,Non-Veg,Juicy boneless chicken breast tenders crumb-fried crisp (Small portion),TRUE,5,
Chicken Strips (Large),Snacks,189,Non-Veg,Large portion of crunchy golden fried boneless chicken breast tenders,TRUE,5,
Chicken and Chips,Snacks,159,Non-Veg,Crispy fried chicken tenders served with a hearty side of salted fries,TRUE,5,
Chicken Nuggets,Snacks,89,Non-Veg,Crispy golden fried chicken nuggets served with dipping sauces,TRUE,5,
Alfredo White Sauce Pasta (Veg),Pasta,189,Veg,Penne pasta in rich creamy parmesan and garlic butter white sauce with veggies,TRUE,5,
Alfredo White Sauce Pasta (Non-Veg),Pasta,229,Non-Veg,Penne pasta in creamy Alfredo white sauce loaded with seasoned chicken morsels,TRUE,5,
Pink Sauce Pasta (Veg),Pasta,229,Veg,Pasta tossed in delicious creamy blend of tangy tomato red sauce and white sauce,TRUE,5,
Pink Sauce Pasta (Non-Veg),Pasta,249,Non-Veg,Creamy pink sauce pasta tossed with succulent chicken chunks and Italian herbs,TRUE,5,
Red Sauce Arrabiata Pasta (Veg),Pasta,229,Veg,"Spicy Italian tomato sauce pasta simmered with garlic, basil, and red chillies",TRUE,5,
Red Sauce Arrabiata Pasta (Non-Veg),Pasta,239,Non-Veg,Fiery Arrabiata tomato pasta tossed with grilled seasoned chicken pieces,TRUE,5,
Mac and Cheese Pasta (Veg),Pasta,179,Veg,Classic macaroni baked in rich gooey melted cheddar cheese sauce,TRUE,5,
Mac and Cheese Pasta (Non-Veg),Pasta,199,Non-Veg,Macaroni in cheesy cheddar sauce baked with seasoned tender chicken bits,TRUE,5,
VEG Momo (6 Pcs),Momos,99,Veg,Steamed vegetable dumplings stuffed with seasoned minced garden veggies (6 pcs),TRUE,5,
Chicken Momo (6 Pcs),Momos,120,Non-Veg,Steamed dumplings packed with juicy minced spiced chicken (6 pcs),TRUE,5,
Cheese Garlic Bread,Garlic Breads,99,Veg,Toasted garlic bread topped with rich melted mozzarella cheese and oregano,TRUE,5,
Cheese & Corn Garlic Bread,Garlic Breads,99,Veg,Toasted garlic bread topped with sweet corn kernels and melted mozzarella,TRUE,5,
Cheese Paneer Garlic Bread,Garlic Breads,119,Veg,Garlic bread topped with spiced cottage cheese cubes and gooey melted cheese,TRUE,5,
Cheese Chicken Garlic Bread,Garlic Breads,119,Non-Veg,Garlic bread topped with seasoned chicken bits and melted mozzarella cheese,TRUE,5,
Crunchy Paneer Wrap,Wraps,99,Veg,"Crispy paneer strips, fresh veggies, and spicy dressing rolled in soft tortilla",TRUE,5,
Crunchy Chicken Wrap,Wraps,99,Non-Veg,Golden crispy chicken tenders rolled with lettuce and sauce in a soft wrap,TRUE,5,
BBQ Paneer Wrap,Wraps,120,Veg,Grilled paneer glazed in smoky barbecue sauce wrapped with crisp onions,TRUE,5,
BBQ Chicken Wrap,Wraps,120,Non-Veg,Juicy BBQ glazed chicken breast strips rolled in toasted tortilla wrap,TRUE,5,
Peri Peri Paneer Wrap,Wraps,120,Veg,Spiced paneer cubes in fiery peri peri sauce with crunchy greens in a wrap,TRUE,5,
Peri Peri Chicken Wrap,Wraps,120,Non-Veg,Tender chicken tenders coated in spicy peri peri sauce rolled in flatbread,TRUE,5,
Aloo Tikki Wrap,Wraps,99,Veg,Crispy spiced potato patty with mint mayo and onions rolled in flatbread,TRUE,5,
Thums Up,Beverages,25,Veg,"Strong, fizzy refreshing cola soft drink (MRP)",TRUE,5,
Coca-Cola,Beverages,25,Veg,Classic refreshing fizzy Coca-Cola (MRP),TRUE,5,
Sprite,Beverages,25,Veg,"Crisp, clean lemon-lime flavoured soda (MRP)",TRUE,5,
Maaza,Beverages,25,Veg,Sweet and refreshing Alphonso mango fruit drink (MRP),TRUE,5,
Water Bottle (MRP),Beverages,20,Veg,Packaged purified mineral drinking water (MRP),TRUE,5,
Virgin Mojito,Mocktails,79,Veg,"Refreshing mocktail with muddled mint leaves, fresh lime juice, and sparkling soda",TRUE,5,
Blue Curacao,Mocktails,79,Veg,Vibrant citrus blue curacao mocktail topped with soda and lemon slice,TRUE,5,
Mint Lemon,Mocktails,79,Veg,Cool zesty mocktail blended with crushed mint and fresh tangy lemon juice,TRUE,5,
Watermelon Mocktail,Mocktails,89,Veg,"Juicy fresh watermelon extract topped with mint, lime, and chilled soda",TRUE,5,
Strawberry Mocktail,Mocktails,89,Veg,Sweet strawberry puree mixed with tangy lemon juice and fizzy soda,TRUE,5,
Orange Mocktail,Mocktails,89,Veg,Zesty citrus orange blend served chilled with ice and a splash of soda,TRUE,5,
5 Star Milkshake,Milk Shakes,90,Veg,Rich milkshake blended with chocolatey 5 Star candy bars and chilled milk,TRUE,5,
Mango Milkshake,Milk Shakes,100,Veg,Sweet and fruity milkshake blended with luscious mango pulp and ice cream,TRUE,5,
Kit Kat Milkshake,Milk Shakes,100,Veg,Crunchy Kit Kat wafers blended with creamy vanilla and chocolate milk,TRUE,5,
Oreo Milkshake,Milk Shakes,120,Veg,Creamy shake blended with crushed Oreo cookies and rich chocolate sauce,TRUE,5,
Snickers Milkshake,Milk Shakes,120,Veg,"Decadent shake with Snickers bar, caramel, roasted peanuts, and cocoa",TRUE,5,
Butterscotch Milkshake,Milk Shakes,120,Veg,Creamy shake infused with sweet butterscotch syrup and crunchy pralines,TRUE,5,
Strawberry Milkshake,Milk Shakes,120,Veg,Fresh strawberry fruit crush blended with velvety smooth chilled milk,TRUE,5,
Black Currant Milkshake,Milk Shakes,150,Veg,Exotic black currant berry shake with real fruit extract and ice cream,TRUE,5,
Red Velvet Milkshake,Milk Shakes,150,Veg,Luxurious red velvet cake crumbs blended into a creamy rich milkshake,TRUE,5,
5 Star Thick Shake,Thick Shakes,150,Veg,Ultra rich thick shake blended with 5 Star candy and chocolate ice cream,TRUE,5,
Mango Thick Shake,Thick Shakes,160,Veg,Super thick gourmet shake made with pure mango pulp and rich cream,TRUE,5,
Kit Kat Thick Shake,Thick Shakes,160,Veg,Decadent thick shake loaded with crunchy Kit Kat wafer chunks and cream,TRUE,5,
Oreo Thick Shake,Thick Shakes,180,Veg,Dense thick shake blended with generous whole Oreo cookies and fudge,TRUE,5,
Snickers Thick Shake,Thick Shakes,200,Veg,Rich thick shake bursting with peanut nougat Snickers and caramel,TRUE,5,
Butterscotch Thick Shake,Thick Shakes,200,Veg,Creamy dense butterscotch thick shake topped with crunchy nut praline,TRUE,5,
Strawberry Thick Shake,Thick Shakes,200,Veg,Rich strawberry thick shake crafted with strawberry puree and ice cream,TRUE,5,
Black Currant Thick Shake,Thick Shakes,230,Veg,Premium dark berry thick shake made with wild black currants,TRUE,5,
Red Velvet Thick Shake,Thick Shakes,230,Veg,Decadent red velvet sponge and cream cheese blended into a thick shake,TRUE,5,
Fruit Twist Ice Cream,Ice Creams,180,Veg,Medley of tropical fruit scoops drizzled with fruit syrup and roasted nuts,TRUE,5,
Purple Rain Ice Cream,Ice Creams,180,Veg,Exotic black currant and berry ice cream sundae with sweet berry coulis,TRUE,5,
Honey Moon Ice Cream,Ice Creams,180,Veg,Premium vanilla and butterscotch scoops topped with natural honey and nuts,TRUE,5,
All In One Ice Cream,Ice Creams,240,Veg,"Grand sundae featuring multi-flavour ice cream scoops, fudge, and toppings",TRUE,5,
3 in One Ice Cream,Ice Creams,220,Veg,Trio of classic ice cream scoops served with chocolate syrup and cherries,TRUE,5,
Melody Ice Cream,Ice Creams,200,Veg,Velvety chocolate and vanilla sundae loaded with fudge and chocolate drops,TRUE,5,
Crunchy Choco Ice Cream,Ice Creams,220,Veg,Decadent chocolate ice cream topped with crunchy choco chips and syrup,TRUE,5,
Basanti,Desserts,100,Veg,Traditional chilled sweet rabdi dessert infused with saffron and cardamom,TRUE,5,
Brownie,Desserts,79,Veg,Rich fudge chocolate brownie baked to soft gooey perfection,TRUE,5,
Brownie with Vanilla,Desserts,139,Veg,Warm chocolate brownie served with a scoop of creamy vanilla ice cream,TRUE,5,
Brownie Choco Dip,Desserts,149,Veg,Decadent brownie drenched in warm melted dark chocolate ganache,TRUE,5,
DBC (Death By Chocolate),Desserts,200,Veg,"Loaded chocolate sundae with warm brownie, fudge ice cream, and chocolate sauce",TRUE,5,
Gulab Jamun with Vanilla,Desserts,220,Veg,Warm golden fried gulab jamuns served with a scoop of vanilla ice cream,TRUE,5,
2 Burgers (Veg / NV) Combo,Combos,100,Non-Veg,Combo meal with 2 delicious burgers of your choice (Veg or Non-Veg),TRUE,5,
2 Veg/NV Burgers + 1 Mocktail Combo,Combos,159,Non-Veg,Meal combo of 2 burgers served with 1 refreshing cool mocktail,TRUE,5,
1 Leg Piece + 1 Thigh Piece Combo,Combos,170,Non-Veg,Crispy fried chicken combo featuring 1 leg piece and 1 juicy thigh piece,TRUE,5,
2 Leg Piece + 2 Thigh Piece Combo,Combos,349,Non-Veg,Chicken feast combo with 2 crunchy leg pieces and 2 succulent thigh pieces,TRUE,5,
4 Wings + 1 Full Popcorn Combo,Combos,300,Non-Veg,Crispy snack combo of 4 crunchy chicken wings and 1 full chicken popcorn,TRUE,5,
1 Burger + 1 Wrap + 6 Strips + 250ml Coke Combo,Combos,329,Non-Veg,"Loaded meal with 1 burger, 1 wrap, 6 chicken strips, and 250ml Coca-Cola",TRUE,5,
3 Lollipop + 3 Strips + 3 Wings + 250ml Coke Combo,Combos,369,Non-Veg,"Party snack combo of 3 chicken lollipops, 3 strips, 3 wings, and 250ml Coke",TRUE,5,
2 Legs + 2 Strips + 2 Thighs + 2 Lollipop + 2 Wings + 250ml Coke Combo,Combos,520,Non-Veg,"Mega platter with 2 legs, 2 strips, 2 thighs, 2 lollipops, 2 wings, and 250ml Coke",TRUE,5,
4 Wings + 3 Lollipop + 3 Leg Pieces Combo,Combos,559,Non-Veg,"Jumbo fried chicken bucket with 4 wings, 3 lollipops, and 3 crispy leg pieces",TRUE,5,
12 Wings Combo,Combos,299,Non-Veg,Value pack of 12 crispy fried seasoned chicken wings,TRUE,5,
Chicken Wings (4 Pc),Fried Chicken Specials,129,Non-Veg,Crispy seasoned golden fried chicken wings (4 pcs),TRUE,5,
Chicken Wings (8 Pc),Fried Chicken Specials,230,Non-Veg,Crispy seasoned golden fried chicken wings (8 pcs),TRUE,5,
Chicken Wings (12 Pc),Fried Chicken Specials,299,Non-Veg,Crispy seasoned golden fried chicken wings (12 pcs),TRUE,5,
Chicken Lollipop (4 Pc),Fried Chicken Specials,189,Non-Veg,Golden fried crunchy chicken lollipops (4 pcs),TRUE,5,
Chicken Lollipop (8 Pc),Fried Chicken Specials,349,Non-Veg,Golden fried crunchy chicken lollipops (8 pcs),TRUE,5,
Chicken Lollipop (12 Pc),Fried Chicken Specials,429,Non-Veg,Golden fried crunchy chicken lollipops (12 pcs),TRUE,5,
Chicken Thigh (1 Pc),Fried Chicken Specials,89,Non-Veg,Succulent crispy battered fried chicken thigh (1 pc),TRUE,5,
Chicken Thigh (2 Pc),Fried Chicken Specials,179,Non-Veg,Succulent crispy battered fried chicken thigh (2 pcs),TRUE,5,
Chicken Thigh (4 Pc),Fried Chicken Specials,350,Non-Veg,Succulent crispy battered fried chicken thigh (4 pcs),TRUE,5,
Chicken Leg (1 Pc),Fried Chicken Specials,89,Non-Veg,Classic crunchy batter-fried juicy chicken drumstick leg (1 pc),TRUE,5,
Chicken Leg (2 Pc),Fried Chicken Specials,179,Non-Veg,Classic crunchy batter-fried juicy chicken drumstick leg (2 pcs),TRUE,5,
Chicken Leg (4 Pc),Fried Chicken Specials,350,Non-Veg,Classic crunchy batter-fried juicy chicken drumstick leg (4 pcs),TRUE,5,
